Season	Week Start Date	Week End Date	MMWR Week	Activity type	Region Name	Activity level	Last updated
2023-2024	12/24/23	12/30/23	52	ILI	Inner Metro Boston	High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	Northeast	Very High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	Outer Metro Boston	Very High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	Southeast	Very High	3/7/24
2023-2024	12/24/23	12/30/23	52	ILI	West	Very High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Boston	High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Central	Very High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Inner Metro Boston	High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Northeast	Very High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Outer Metro Boston	High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	Southeast	Very High	3/7/24
2023-2024	12/31/23	1/6/24	1	ILI	West	High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Boston	High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Central	High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Northeast	High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Outer Metro Boston	High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	Southeast	Very High	3/7/24
2023-2024	1/7/24	1/13/24	2	ILI	West	High	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Boston	Moderate	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Central	High	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Northeast	High	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Outer Metro Boston	High	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	Southeast	High	3/7/24
2023-2024	1/14/24	1/20/24	3	ILI	West	High	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Boston	Moderate	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Central	High	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Northeast	High	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Outer Metro Boston	High	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	Southeast	High	3/7/24
2023-2024	1/21/24	1/27/24	4	ILI	West	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Boston	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Central	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Northeast	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Outer Metro Boston	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	Southeast	High	3/7/24
2023-2024	1/28/24	2/3/24	5	ILI	West	High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Boston	High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Central	High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Northeast	High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Outer Metro Boston	High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	Southeast	Very High	3/7/24
2023-2024	2/4/24	2/10/24	6	ILI	West	High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Boston	High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Central	Very High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Inner Metro Boston	Moderate	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Northeast	High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Outer Metro Boston	Very High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	Southeast	High	3/7/24
2023-2024	2/11/24	2/17/24	7	ILI	West	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Boston	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Central	Very High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Inner Metro Boston	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Northeast	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Outer Metro Boston	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	Southeast	High	3/7/24
2023-2024	2/18/24	2/24/24	8	ILI	West	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Boston	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Central	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Inner Metro Boston	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Northeast	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Outer Metro Boston	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	Southeast	High	3/7/24
2023-2024	2/25/24	3/2/24	9	ILI	West	High	3/7/24
