Season	Week Start Date	Week End Date	County	Population	Cases during this week	Cumulative confirmed cases	Cumulative tests	Tests during the week	Positive tests the week	Week percent positivity	Weekly case rate	Weekly testing rate	Last updated
2023-2024	12/3/23	12/9/23	Hampden	465824.9991	340	3994	59964	3877	360	0.092855300490069639	72.988783482401985	832.2868045919779	3/7/24
2023-2024	12/3/23	12/9/23	Hampshire	162308.0003	56	923	12796	741	61	0.082321187584345479	34.50230419726266	456.53941803877922	3/7/24
2023-2024	12/3/23	12/9/23	Middlesex	1632001.997	769	10332	111711	7344	858	0.11683006535947713	47.120040380685886	449.99944935729144	3/7/24
2023-2024	12/3/23	12/9/23	Norfolk	725980.9995	253	3973	43901	3009	306	0.10169491525423729	34.849396909044032	414.47365730953953	3/7/24
2023-2024	12/3/23	12/9/23	Plymouth	530818.9998	280	3487	35379	2502	309	0.12350119904076738	52.748677064215372	471.34710719523872	3/7/24
2023-2024	12/3/23	12/9/23	Statewide (all of MA)	7029916.997	3369	45251	545480	35790	3727	0.10413523330539257	47.923752178549371	509.10985172759928	3/7/24
2023-2024	12/3/23	12/9/23	Suffolk	797935.9991	357	4715	57949	3817	403	0.10558029866387215	44.740430360663495	478.35916718950295	3/7/24
2023-2024	12/3/23	12/9/23	Unknown		18	176	4903	322	18	*	*	*	3/7/24
2023-2024	12/3/23	12/9/23	Worcester	862111.0013	381	4813	62186	4383	420	0.095824777549623541	44.193845041471462	508.40320949283313	3/7/24
2023-2024	12/10/23	12/16/23	Barnstable	228995.9998	220	2765	33579	1962	270	0.13761467889908258	96.071547185166153	856.78352535134547	3/7/24
2023-2024	12/10/23	12/16/23	Berkshire	129026	103	1397	20816	859	105	0.12223515715948778	79.82887170027746	665.75728922852761	3/7/24
2023-2024	12/10/23	12/16/23	Bristol	579200	318	3359	31386	2405	336	0.13970893970893972	54.903314917127069	415.22790055248618	3/7/24
2023-2024	12/10/23	12/16/23	Dukes and Nantucket	34855	14	246	3866	262	14	0.053435114503816793	40.166403672356907	751.68555443982211	3/7/24
2023-2024	12/10/23	12/16/23	Essex	809829.0011	514	5798	70588	4992	541	0.10837339743589744	63.470189299448144	616.42642992771425	3/7/24
2023-2024	12/10/23	12/16/23	Franklin	71028.9999	44	486	7325	389	44	0.11311053984575835	61.946528969782108	547.66363111920998	3/7/24
2023-2024	12/10/23	12/16/23	Hampden	465824.9991	342	4336	63870	3906	353	0.090373783922171019	73.418129267592576	838.51231847724159	3/7/24
2023-2024	12/10/23	12/16/23	Hampshire	162308.0003	76	999	13644	848	84	0.099056603773584911	46.824555696285039	522.46346355854894	3/7/24
2023-2024	12/10/23	12/16/23	Middlesex	1632001.997	1015	11347	119966	8255	1110	0.13446396123561477	62.193551347719335	505.82045948317551	3/7/24
2023-2024	12/10/23	12/16/23	Norfolk	725980.9995	390	4363	47251	3350	437	0.13044776119402984	53.720414207617289	461.44458357825107	3/7/24
2023-2024	12/10/23	12/16/23	Plymouth	530818.9998	375	3862	38289	2910	417	0.14329896907216494	70.645549639574156	548.20946520309542	3/7/24
2023-2024	12/10/23	12/16/23	Statewide (all of MA)	7029916.997	4347	49598	584667	39187	4747	0.12113711179727971	61.835722980158536	557.43190163871009	3/7/24
2023-2024	12/10/23	12/16/23	Suffolk	797935.9991	411	5126	62027	4078	472	0.11574301128003923	51.507890415217638	511.06855745318131	3/7/24
2023-2024	12/10/23	12/16/23	Unknown		20	196	5269	366	20	*	*	*	3/7/24
2023-2024	12/10/23	12/16/23	Worcester	862111.0013	505	5318	66791	4605	544	0.11813246471226928	58.57714369013933	534.15395384770625	3/7/24
2023-2024	12/17/23	12/23/23	Barnstable	228995.9998	278	3043	35641	2062	315	0.15276430649854511	121.39950053398269	900.45241043551198	3/7/24
2023-2024	12/17/23	12/23/23	Berkshire	129026	125	1522	21726	910	126	0.13846153846153847	96.879698665385277	705.28420628400477	3/7/24
2023-2024	12/17/23	12/23/23	Bristol	579200	388	3747	33950	2564	403	0.15717628705148207	66.988950276243102	442.67955801104966	3/7/24
2023-2024	12/17/23	12/23/23	Dukes and Nantucket	34855	24	270	4187	321	24	0.07476635514018691	68.85669200975471	920.95825563046913	3/7/24
2023-2024	12/17/23	12/23/23	Essex	809829.0011	609	6407	75838	5250	646	0.12304761904761904	75.201060862575716	648.28500743599761	3/7/24
2023-2024	12/17/23	12/23/23	Franklin	71028.9999	52	538	7728	403	54	0.13399503722084366	73.20953423701522	567.37389033686793	3/7/24
2023-2024	12/17/23	12/23/23	Hampden	465824.9991	399	4735	67953	4083	416	0.10188586823414156	85.654484145524677	876.50942046660975	3/7/24
2023-2024	12/17/23	12/23/23	Hampshire	162308.0003	81	1080	14561	917	88	0.095965103598691384	49.905118571040639	564.97523123017606	3/7/24
2023-2024	12/17/23	12/23/23	Middlesex	1632001.997	1185	12532	128704	8738	1258	0.14396887159533073	72.610205268027016	535.41601150381427	3/7/24
2023-2024	12/17/23	12/23/23	Norfolk	725980.9995	433	4796	50643	3392	480	0.14150943396226415	59.643434235636633	467.22985895445601	3/7/24
2023-2024	12/17/23	12/23/23	Plymouth	530818.9998	472	4334	41340	3051	499	0.16355293346443789	88.919198479677334	574.7721918675752	3/7/24
2023-2024	12/17/23	12/23/23	Statewide (all of MA)	7029916.997	5155	54753	625523	40856	5530	0.13535343645976111	73.329457548359159	581.1732914831739	3/7/24
2023-2024	12/17/23	12/23/23	Suffolk	797935.9991	471	5597	66246	4219	543	0.12870348423797109	59.027290475833354	528.73914759562831	3/7/24
2023-2024	12/17/23	12/23/23	Unknown		16	212	5695	426	16	*	*	*	3/7/24
2023-2024	12/17/23	12/23/23	Worcester	862111.0013	622	5940	71311	4520	662	0.14646017699115044	72.148481931221127	524.29443461273229	3/7/24
2023-2024	12/24/23	12/30/23	Barnstable	228995.9998	286	3329	37436	1795	337	0.18774373259052926	124.893011340716	783.85648726078762	3/7/24
2023-2024	12/24/23	12/30/23	Berkshire	129026	141	1663	22582	856	143	0.16705607476635514	109.28030009455458	663.43217646055837	3/7/24
2023-2024	12/24/23	12/30/23	Bristol	579200	351	4098	36161	2211	372	0.16824966078697423	60.600828729281766	381.73342541436466	3/7/24
2023-2024	12/24/23	12/30/23	Dukes and Nantucket	34855	29	299	4476	289	29	0.10034602076124567	83.20183617845359	829.14933295079618	3/7/24
