,Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
562,Charlotte,CLT,22:19,2023-05-22,"['B61746', 'HA2414']","['JetBlue Airways', 'Hawaiian Airlines']",C,Landed - On-time [+],19:55,2023-05-22,19:55,2023-05-22,22:19,2023-05-22,21:54,2023-05-22,
563,Hong Kong,HKG,22:20,2023-05-22,['CX812'],['Cathay Pacific'],E,Landed - On-time [+],18:25,2023-05-22,18:22,2023-05-22,22:20,2023-05-22,22:02,2023-05-22,
564,New York,LGA,22:22,2023-05-22,['DL5828'],['Delta Air Lines'],A,Landed - On-time [+],20:59,2023-05-22,20:59,2023-05-22,22:22,2023-05-22,22:00,2023-05-22,
565,Toronto,YYZ,22:26,2023-05-22,"['AC772', 'TK8678', 'UA8530']","['Air Canada', 'Turkish Airlines', 'United Airlines']",B,Landed - Delayed [+],20:55,2023-05-22,21:15,2023-05-22,22:26,2023-05-22,22:56,2023-05-22,
566,Reykjavik,KEF,22:27,2023-05-22,['FI7K'],['Icelandair'],,Landed - On-time [+],20:46,2023-05-22,20:54,2023-05-22,22:27,2023-05-22,22:17,2023-05-22,
567,London,LHR,22:30,2023-05-22,"['BA239', 'AA6982', 'AY5439', 'EI8939', 'IB7415']","['British Airways', 'American Airlines', 'Finnair', 'Aer Lingus', 'Iberia']",E,Landed - On-time [+],20:10,2023-05-22,20:19,2023-05-22,22:30,2023-05-22,22:27,2023-05-22,
568,Dallas,DFW,22:31,2023-05-22,"['AA1366', 'QF4528']","['American Airlines', 'Qantas']",B,Landed - On-time [+],17:49,2023-05-22,18:03,2023-05-22,22:31,2023-05-22,22:35,2023-05-22,
569,Miami,MIA,22:34,2023-05-22,"['DL1751', 'LA5055']","['Delta Air Lines', 'LATAM Airlines']",A,Landed - Delayed [+],19:00,2023-05-22,19:42,2023-05-22,22:34,2023-05-22,22:51,2023-05-22,
570,Minneapolis,MSP,22:35,2023-05-22,"['B6836', 'AA9352']","['JetBlue Airways', 'American Airlines']",C,Landed - Delayed [+],18:44,2023-05-22,20:03,2023-05-22,22:35,2023-05-22,23:35,2023-05-22,
571,Atlanta,ATL,22:36,2023-05-22,"['DL561', 'AF5634', 'AM3287', 'AZ3254', 'KL7188', 'LA6600', 'VS2377']","['Delta Air Lines', 'Air France', 'Aeromexico', 'ITA Airways', 'KLM Royal Dutch Airlines', 'LATAM Airlines', 'Virgin Atlantic']",A,Landed - On-time [+],19:54,2023-05-22,20:01,2023-05-22,22:36,2023-05-22,22:43,2023-05-22,
572,Panama City,PTY,22:44,2023-05-22,"['CM366', 'UA7125']","['Copa Airlines', 'United Airlines']",E,Landed - Delayed [+],16:02,2023-05-22,15:54,2023-05-22,22:44,2023-05-22,23:08,2023-05-22,
573,West Palm Beach,PBI,22:45,2023-05-22,['DL1245'],['Delta Air Lines'],A,Landed - On-time [+],19:25,2023-05-22,19:35,2023-05-22,22:45,2023-05-22,22:33,2023-05-22,
574,Orlando,MCO,22:46,2023-05-22,"['B61282', 'AD7416', 'HA2340']","['JetBlue Airways', 'Azul', 'Hawaiian Airlines']",C,Landed - Delayed [+],19:40,2023-05-22,22:10,2023-05-22,22:46,2023-05-22,00:40,2023-05-23,
575,Austin,AUS,22:59,2023-05-22,"['AA2999', 'B64403']","['American Airlines', 'JetBlue Airways']",B,Landed - On-time [+],17:55,2023-05-22,17:55,2023-05-22,22:59,2023-05-22,22:39,2023-05-22,
576,Saint Louis,STL,23:00,2023-05-22,['WN1958'],['Southwest Airlines'],B,Landed - Delayed [+],19:30,2023-05-22,19:56,2023-05-22,23:00,2023-05-22,23:24,2023-05-22,
577,Charlotte,CLT,23:03,2023-05-22,['AA1843'],['American Airlines'],B,Landed - On-time [+],20:53,2023-05-22,20:47,2023-05-22,23:03,2023-05-22,22:47,2023-05-22,
578,Miami,MIA,23:04,2023-05-22,"['B61720', 'QR4188', 'TP4510']","['JetBlue Airways', 'Qatar Airways', 'TAP Air Portugal']",C,Landed - On-time [+],19:45,2023-05-22,19:39,2023-05-22,23:04,2023-05-22,22:39,2023-05-22,
579,Phoenix,PHX,23:08,2023-05-22,['AA2814'],['American Airlines'],B,Landed - Delayed [+],15:13,2023-05-22,15:38,2023-05-22,23:08,2023-05-22,23:38,2023-05-22,
580,Nashville,BNA,23:10,2023-05-22,['WN3143'],['Southwest Airlines'],B,Landed - Delayed [+],21:05,2023-05-21,21:07,2023-05-21,00:30,2023-05-22,00:26,2023-05-22,
581,New York,LGA,23:10,2023-05-22,"['DL354', 'WS7988']","['Delta Air Lines', 'WestJet']",A,Landed - Delayed [+],21:59,2023-05-22,22:36,2023-05-22,23:10,2023-05-22,23:36,2023-05-22,
582,Miami,MIA,23:11,2023-05-22,"['AA2539', 'B64148', 'G36250', 'IB4887']","['American Airlines', 'JetBlue Airways', 'Gol', 'Iberia']",B,Landed - On-time [+],19:42,2023-05-22,19:39,2023-05-22,23:11,2023-05-22,22:49,2023-05-22,
