Origin,Origin Code,Arrival Time (default),Arrival Date (default),Flight,Airline,Terminal,Status,Scheduled Departure Time,Scheduled Departure Date,Departure Time,Departure Date,Scheduled Arrival Time,Scheduled Arrival Date,Arrival Time,Arrival Date,Equipment
Washington,DCA,10:05,2023-06-04,"['B61854', 'AA9189', 'FI7868']","['JetBlue Airways', 'American Airlines', 'Icelandair']",C,Landed - On-time [+],08:30,2023-06-04,08:28,2023-06-04,10:05,2023-06-04,09:57,2023-06-04,
Dulles,IAD,10:05,2023-06-04,"['UA641', 'AV2022', 'MS9313']","['United Airlines', 'Avianca', 'EgyptAir']",B,Landed - On-time [+],08:25,2023-06-04,08:19,2023-06-04,10:05,2023-06-04,09:58,2023-06-04,
Rockland,RKD,10:05,2023-06-04,"['9K1862', 'B65359']","['Cape Air', 'JetBlue Airways']",C,Landed - On-time [+],08:55,2023-06-04,08:40,2023-06-04,10:05,2023-06-04,10:10,2023-06-04,Tecnam P2012 Traveler
Tampa,TPA,10:09,2023-06-04,"['DL1430', 'KE3905', 'VS4346']","['Delta Air Lines', 'Korean Air', 'Virgin Atlantic']",A,Landed - On-time [+],07:00,2023-06-04,06:57,2023-06-04,10:09,2023-06-04,09:53,2023-06-04,
Orlando,MCO,10:11,2023-06-04,"['DL1668', 'KE3991']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],07:05,2023-06-04,06:59,2023-06-04,10:11,2023-06-04,09:53,2023-06-04,
Orlando,MCO,10:12,2023-06-04,"['B62056', 'AD7420', 'EI5169', 'FI7814', 'HA2440', 'JL5489', 'TP4484']","['JetBlue Airways', 'Azul', 'Aer Lingus', 'Icelandair', 'Hawaiian Airlines', 'JAL Japan Airlines', 'TAP Air Portugal']",C,Landed - On-time [+],07:00,2023-06-04,06:58,2023-06-04,10:12,2023-06-04,09:45,2023-06-04,
Washington,DCA,10:15,2023-06-04,"['DL5807', 'KE3308']","['Delta Air Lines', 'Korean Air']",A,Landed - On-time [+],08:30,2023-06-04,08:24,2023-06-04,10:15,2023-06-04,10:10,2023-06-04,
London,LHR,10:16,2023-06-04,['B61621'],['JetBlue Airways'],E,Landed - On-time [+],07:25,2023-06-04,07:23,2023-06-04,10:16,2023-06-04,09:16,2023-06-04,
Knoxville,TYS,10:24,2023-06-04,['G41398'],['Allegiant Air'],E,Landed - On-time [+],08:00,2023-06-04,08:01,2023-06-04,10:24,2023-06-04,10:24,2023-06-04,
Seoul,ICN,10:30,2023-06-04,"['KE91', 'DL7667']","['Korean Air', 'Delta Air Lines']",E,Landed - On-time [+],09:30,2023-06-04,09:30,2023-06-04,10:30,2023-06-04,09:28,2023-06-04,
