location	b	ra_at_1in100	pathogen	tidy_name	taxids	predictor_type	study
Overall	-0.8882806311542942	2.049212120022058e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.3606915318620352	1.277678250421778e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.0049624249120708	6.708388945757867e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.5146218575797423	4.0297301715713525e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.4656729928172147	1.1503464016029597e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.9761294322010536	1.876872079605788e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.2380274470362416	5.313728828917528e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.2908023659446672	1.3701684941296885e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.3429678336413822	1.3005253002438989e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.513558892143997	4.034015912680102e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.21275555987982	1.4813895251155518e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.8269812418707567	2.1787575081081218e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.4290629866528497	4.389688580109744e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-3.323369919240402	1.7949037143296672e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.6516016784911249	2.596421849692166e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.3595663831661084	3.47699874745675e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.4133537198098352	1.2121339273203182e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.1966474848404007	1.5054450793536405e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	0.0065779731587155	5.014399609849595e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.25444412837643	5.2272071828876365e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.0876065668281597	4.5636794745020274e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-1.083805196919857	1.6852785440891157e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-0.2878503637992046	3.735514224327397e-07	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
Overall	-2.154584295236996	5.7761476483455407e-08	sars_cov_2	SARS-COV-2	2697049	incidence	crits_christoph
